Target	Type	Value	Comment
aMEK	node	-1	
aAKT	node	-1	
aHDAC	node	-1	
aMDM2	node	-1	
aJAK	node	-1	
aBRAFm	node	-1	
aPKC	node	-1	
aSTAT3	node	-1	
amTOR	node	-1	
aPI3K	node	-1	
aCDK4	node	-1	
aSRC	node	-1	
