	TSC1/2	p70S6K	AKT	AKTP	PRAS40	IRS1_PI3K	mTORC1_pS2448	mTORC2
1	-3.904382	0.5070681	0.69991676	0.7469316	-0.28781036	1.4123763	0.54083863	-0.038460431
2	0.78428529	-0.27145465	-1.2495121	-1.2011062	0.22186989	-1.672638	-0.39706794	-0.03846043
3	-0.8395349	0.22156487	1.1518241000000002	0.38706304	-0.28231333	1.6126815	0.270607	1.3430971
4	-1.0947483999999998	0.27491118	1.1465916	0.40457378	-0.30202192	1.6041456	0.30541009	-0.038460431
5	-0.70991077	-2.7130897000000003	0.90867793	0.95449855	0.19894947	2.0208776000000004	-3.0886617999999997	-0.038460431
6	-0.86312065	0.22582964	1.2279185	0.25736003	-0.30082573	1.6123642	0.27808129	-3.3603885
7	-2.4567645000000002	0.44570434	-1.4448094999999999	-1.3953149999999999	-0.037286827	-1.9025808999999998	0.4448712	-0.03846043
8	-4.1040886	0.51253584	1.0538796000000001	0.29253765	-0.35554962	1.4117168	0.54826099	1.3430971
9	-4.343416099999999	0.52155396	1.056183	0.31204713	-0.36175077	1.4100356	0.55525293	-0.038460431
10	-4.0192526	-2.2972770000000002	0.88899181	0.93490282	0.19049113	1.9540238	-2.7767356	-0.038460431
11	-4.1266278	0.51294387	1.1238421	0.15969948	-0.37015099	1.4116773	0.54905586	-3.3603885
12	0.75380856	-0.25926298	-1.1589154	-1.9091957999999998	0.21227037	-1.6733064999999998	-0.37992367	1.3430971
13	0.74435502	-0.25430737	-1.1617046999999998	-1.8778753000000001	0.2110308	-1.6739353	-0.3772379	-0.03846043
14	0.64150547	-3.2530807	-0.93788681	-0.89108218	0.55980523	-1.2919085	-3.6336239000000004	-0.03846043
15	0.74983815	-0.25788847	-1.1428383999999998	-2.0823991000000004	0.21074166	-1.673368	-0.37746401	-3.3603885
16	-1.4042858999999999	0.32980988	1.6259181	-0.90103735	-0.44164801	1.5980253999999998	0.36901575	1.3430971
17	-0.93260668	-2.6451409	1.3307118	0.5588708	0.068442527	2.0196645	-3.0271901000000003	1.3430971
18	-0.88687126	0.23102774	1.2747853	0.16970404	-0.31339977	1.6118758999999998	0.28444734	-1.9788310000000002
19	-1.216576	-2.5767065	1.3153441000000001	0.58027384	0.068957639	2.0160907	-2.9909369999999997	-0.038460431
20	-1.4373729	0.33372406	1.7198134999999999	-1.5525532	-0.47058328	1.5976888	0.37620231	-3.3603885
21	-0.95826206	-2.638793	1.4211238000000002	0.43637221	0.03817138	2.0195843	-3.0194593	-3.3603885
