	TSC1/2	p70S6K	AKT	AKTP	PRAS40	IRS1_PI3K	mTORC1_pS2448	mTORC2
1	-3.767321	0.20740499	0.56349204	0.60284597	-0.21232518	0.93206776	0.43008497	-0.012417158000000001
2	1.0151403	-0.20486252	-1.5156796000000001	-1.4747485	0.21424576	-1.8749175999999999	-0.40210738	-0.012417158000000001
3	-0.77747814	0.091727934	1.0627133999999998	0.28854097	-0.19284476	1.3202877	0.19101798	1.6129811
4	-0.85327642	0.10223512	1.0220643	0.39928597	-0.19052427	1.3090246	0.19584854	-0.012417204
5	-0.97639738	-2.2175447	1.3087556999999999	1.3457462	0.22329357	2.3276783	-3.0908055	-0.012417158000000001
6	-0.81357563	0.09478322	1.1383602	0.042130365	-0.20684517	1.3190141000000002	0.19886799	-3.3343453000000003
7	-2.0826901999999996	0.1709277	-1.9728346999999997	-1.930638	-0.024609098	-2.3701519	0.33501005	-0.012417158000000001
8	-3.9053058	0.20952381	0.80539467	0.033771061	-0.24133276	0.93063879	0.43411586	1.6129811
9	-3.9712051	0.21151118	0.78010149	0.15193697	-0.23933224	0.9285319	0.43568461	-0.012417228
10	-4.264752400000001	-1.9957599999999998	1.2609261999999999	1.2980023	0.22605405	2.2019224	-2.8788804	-0.012417158000000001
11	-3.9345254	0.20980608	0.86853941	-0.21674993	-0.24955981	0.93050455	0.43493513	-3.3343453000000003
12	1.0026602	-0.20015318	-1.4610913	-2.2277244	0.21099875	-1.8769487	-0.3966864	1.6129811
13	1.0004241	-0.1995515	-1.4672848	-2.083928	0.21092048	-1.8775978	-0.39641081	-0.012417196
14	0.57495681	-2.6363444	-0.69601542	-0.65760112	0.57519631	-0.95515683	-3.5183247000000004	-0.012417158000000001
15	1.0008516	-0.19940617	-1.4483704	-2.5187557999999997	0.21037662	-1.8772330000000002	-0.39580195	-3.3343453000000003
16	-1.053046	0.12341604	1.3550721000000001	-0.88149823	-0.25315262	1.2955871	0.23181433	1.6129811
17	-1.2217428	-2.1750151	1.6840311000000001	0.90694696	0.11477031	2.3228536	-3.0501175	1.6129811
18	-0.83179771	0.09683391	1.171188	-0.06910772	-0.21299531	1.3178059	0.20245659	-1.7089470000000002
19	-1.3351613000000002	-2.1611987999999998	1.6136913999999998	1.0127295	0.13593948	2.3176792	-3.0452387	-0.01241721
20	-1.0974688999999997	0.12641742	1.4432008	-1.8372766999999999	-0.27120129	1.2943062	0.23986704	-3.3343453000000003
21	-1.2842539	-2.1664401	1.8088115000000002	0.67906882	0.074089188	2.3221621	-3.0396997000000003	-3.3343453000000003
