	TSC1/2	p70S6K	AKT	AKTP	PRAS40	IRS1_PI3K	mTORC1_pS2448	mTORC2
1	-3.310315	0.48546791	-0.04598570900000001	-0.020793901	-0.16940492	-0.061420922999999995	0.51233235	-0.0122161
2	1.1610089	-0.4171936	-2.1541087	-2.1221727	0.32134772	-2.7003904	-0.62928462	-0.0122161
3	-0.40192458	0.11680405	0.59863415	-0.19161782	-0.13233525	0.58628336	0.15140529	1.3461746
4	-0.51768879	0.14922549	0.58775734	-0.15013625	-0.14202927	0.58155925	0.17216926	-0.012216099
5	-0.59897249	-2.7452842	0.83746058	0.86273909	0.22187816	1.7912139	-3.1118025	-0.0122161
6	-0.41908332	0.12079857	0.64908513	-0.34312911	-0.14235592	0.58602405	0.15841713	-3.3341442000000003
7	-2.001909	0.41866708	-2.7815876	-2.7503179	0.025342623999999998	-3.3765434	0.39103461	-0.0122161
8	-3.4245672	0.48970232	0.15672614	-0.6263568	-0.19456492	-0.061883087	0.51885322	1.3461746
9	-3.4976617999999995	0.49400129	0.1546258	-0.58760205	-0.19667954	-0.062610556	0.52241027	-0.012216099
10	-3.8625709	-2.3049531	0.75299204	0.77813469	0.22948127	1.5420274	-2.782502	-0.0122161
11	-3.4377492999999997	0.49005759	0.19282982	-0.78476496	-0.19914985	-0.061914274000000005	0.51959112	-3.3341442000000003
12	1.1535628	-0.41344341	-2.1010357	-2.8773531	0.3187157	-2.7006068	-0.62498157	1.3461746
13	1.1527723	-0.41255727	-2.1050767	-2.8226806	0.31869315	-2.7008134	-0.62499981	-0.012216099
14	0.76051015	-3.3113792	-1.1243701000000001	-1.0914618999999999	0.58048389	-1.5190263000000002	-3.698296	-0.0122161
15	1.1524443000000002	-0.41298312	-2.0912884	-3.0580624	0.31825641	-2.7006269	-0.62426922	-3.3341442000000003
16	-0.72283209	0.1999227	0.90338035	-1.6387796000000001	-0.21748366	0.57682713	0.23362942	1.3461746
17	-0.80467268	-2.6783464	1.2407146	0.43706853	0.10250065	1.7899133999999999	-3.0505035	1.3461746
18	-0.43615384	0.12541481	0.68017068	-0.44592326	-0.14937096	0.58564629	0.16436426	-1.9757535
19	-1.0072238000000002	-2.6222901000000003	1.2098586	0.47979557	0.10869179	1.7862056	-3.0214303	-0.012216099
20	-0.74404808	0.2040392	0.96047158	-2.3334045	-0.23050634	0.57651887	0.24065912	-3.3341442000000003
21	-0.82806404	-2.6720442	1.3262535	0.30597095	0.075250411	1.7898352	-3.0428017000000005	-3.3341442000000003
