	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
TSC1/2	-3.31E+00	1.87E-02	7.89E-04	8.07E-04	-5.15E-01	1.03E-03	-3.30E+00	-3.31E+00	-3.31E+00	-3.67E+00	-3.31E+00	1.89E-02	1.88E-02	-1.15E-01	1.89E-02	1.61E-03	-4.98E-01	1.10E-03	-4.99E-01	1.84E-03	-4.92E-01
p70S6K	3.64E-01	-8.90E-03	-3.59E-04	-3.74E-04	-1.69E+00	-4.65E-04	3.63E-01	3.64E-01	3.64E-01	-1.07E+00	3.64E-01	-8.99E-03	-8.97E-03	-2.00E+00	-9.01E-03	-7.41E-04	-1.70E+00	-5.01E-04	-1.70E+00	-8.45E-04	-1.70E+00
AKT	-9.88E-01	-2.95E+00	-1.00E-02	-1.42E-02	6.56E+00	-1.20E-02	-4.29E+00	-9.90E-01	-9.90E-01	5.65E+00	-9.91E-01	-2.96E+00	-2.96E+00	4.10E+00	-2.96E+00	-2.49E-02	6.53E+00	-1.31E-02	6.53E+00	-2.69E-02	6.52E+00
AKTP	-9.88E-01	-2.95E+00	-8.03E-01	-5.72E-01	6.56E+00	-1.26E+00	-4.29E+00	-1.78E+00	-1.55E+00	5.65E+00	-2.24E+00	-3.75E+00	-3.51E+00	4.10E+00	-4.20E+00	-1.99E+00	5.74E+00	-1.41E+00	5.97E+00	-3.35E+00	5.27E+00
PRAS40	-3.84E-01	2.72E-03	1.13E-04	1.15E-04	2.85E-01	1.46E-04	-3.84E-01	-3.84E-01	-3.84E-01	2.43E-01	-3.84E-01	2.74E-03	2.74E-03	3.01E-01	2.75E-03	2.30E-04	2.85E-01	1.58E-04	2.85E-01	2.63E-04	2.85E-01
IRS1_PI3K	-9.85E-01	-2.95E+00	-7.37E-03	-1.21E-02	6.58E+00	-8.42E-03	-4.29E+00	-9.85E-01	-9.86E-01	5.65E+00	-9.85E-01	-2.95E+00	-2.96E+00	4.10E+00	-2.95E+00	-2.03E-02	6.54E+00	-9.19E-03	6.54E+00	-2.13E-02	6.53E+00
mTORC1_pS2448	1.29E+00	-1.23E-02	-5.18E-04	-5.30E-04	-3.01E+00	-6.73E-04	1.29E+00	1.29E+00	1.29E+00	-1.98E+00	1.29E+00	-1.24E-02	-1.24E-02	-3.25E+00	-1.25E-02	-1.06E-03	-3.02E+00	-7.26E-04	-3.01E+00	-1.21E-03	-3.02E+00
mTORC2	1.33E-15	3.33E-16	1.78E+00	-4.81E-15	1.33E-15	-3.32E+00	4.22E-15	1.78E+00	1.67E-14	9.99E-16	-3.32E+00	1.78E+00	-6.73E-15	5.77E-15	-3.32E+00	1.78E+00	1.78E+00	-1.54E+00	3.33E-16	-3.32E+00	-3.32E+00
