	TSC1/2	p70S6K	AKT	AKTP	PRAS40	IRS1_PI3K	mTORC1_pS2448	mTORC2
1	-3.3554462	0.35624152	0.0070266895	0.010932286000000001	-0.12328284	0.018973873	0.35439832	-0.008361642800000001
2	1.3297376	-0.42555563	-1.9471179	-1.9418113000000001	0.38628052	-3.0535457000000004	-0.5886058	-0.0083616216
3	-0.29322931	0.069046632	0.46236669	-0.34567082	-0.11726452	0.23183657	0.08253576900000001	1.3717117
4	-0.54486178	0.12201703	0.45699154	-0.32768545	-0.13674486	0.22342782	0.11709527	-0.0083616427
5	-0.16975071	-2.8645788	0.22767701	0.2303921	0.36137524	0.65749091	-3.2753126	-0.0083616427
6	-0.31663145	0.07330888299999999	0.53790988	-0.47582964	-0.13556086	0.23152022	0.09000298400000001	-3.3302897000000002
7	-1.9069174	0.29454078	-2.1535706	-2.147174	0.12650582	-3.2959781	0.25748266	-0.0083616215
8	-3.5530986000000007	0.36169246	0.35747425	-0.44700959	-0.18980358	0.018318121	0.36181624	1.3717117
9	-3.7874535000000003	0.3706132	0.35967178	-0.42709203	-0.19586287	0.016668526	0.36874527	-0.0083616427
10	-3.4784377999999996	-2.4479034	0.20708204	0.20989014	0.35313638	0.58770463	-2.9628417999999996	-0.0083616427
11	-3.5753873999999994	0.36210003	0.4265429	-0.58050126	-0.20408517	0.018278657	0.36261064	-3.3302897000000002
12	1.3000032	-0.41361967	-1.8575225	-2.6510955000000003	0.37690602	-3.0541989	-0.57183831	1.3717117
13	1.2908853999999998	-0.40880161	-1.8602768	-2.6193128	0.37571443	-3.0548081000000002	-0.56924624	-0.0083616165
14	1.179858	-3.4047379	-1.6206531000000002	-1.6169505	0.72205206	-2.6553117000000004	-3.8208466	-0.0083616216
15	1.2961238000000002	-0.41227264	-1.8415943	-2.8244553	0.37541229	-3.054259	-0.56942981	-3.3302897000000002
16	-0.85138764	0.17690197	0.9327873	-1.6373102	-0.27471567	0.2173357	0.18071491	1.3717117
17	-0.39171298	-2.7966419	0.64953614	-0.16578087	0.23108875	0.65628002	-3.2138313999999997	1.3717117
18	-0.3402059	0.078501019	0.58443877	-0.56381717	-0.14799773	0.23103403	0.096366227	-1.9502164
19	-0.67391292	-2.7283598	0.63382748	-0.14394595	0.231709	0.65272624	-3.1776638999999998	-0.0083616427
20	-0.88407337	0.18082129	1.0257958	-2.2896693999999997	-0.30319142	0.21699945	0.18789654	-3.3302897000000002
21	-0.41726469	-2.7902963	0.73985266	-0.28840133	0.20088529	0.65619992	-3.2061025	-3.3302897000000002
