,NELANDER_2008
1,0.7037037037037037
2,0.7566137566137566
3,0.7513227513227513
4,0.746031746031746
5,0.7566137566137566
6,0.4656084656084656
7,0.5132275132275133
8,0.3544973544973545
9,0.37566137566137564
10,0.6878306878306878
11,0.6825396825396826
12,0.5238095238095238
13,0.5238095238095238
14,0.582010582010582
15,0.582010582010582
16,0.4497354497354497
17,0.43386243386243384
18,0.4497354497354497
19,0.4603174603174603
20,0.4603174603174603
21,0.4497354497354497
22,0.1164021164021164
23,0.12698412698412698
24,0.2698412698412698
25,0.12698412698412698
26,0.13756613756613756
27,0.2698412698412698
28,0.2698412698412698
29,0.2698412698412698
30,0.09523809523809523
31,0.25396825396825395
32,0.05291005291005291
33,0.2222222222222222
34,0.2698412698412698
35,0.2698412698412698
36,0.164021164021164
37,0.21693121693121692
38,0.2698412698412698
39,0.2698412698412698
40,0.2698412698412698
41,0.2698412698412698
42,0.19576719576719576
43,0.2275132275132275
44,0.05291005291005291
45,0.2698412698412698
46,0.2698412698412698
47,0.23809523809523808
48,0.09523809523809523
49,0.23809523809523808
50,0.19576719576719576
51,0.2698412698412698
52,0.2275132275132275
53,0.2698412698412698
54,0.2698412698412698
55,0.2698412698412698
56,0.2698412698412698
57,0.2698412698412698
58,0.2698412698412698
59,0.05291005291005291
60,0.09523809523809523
61,0.2698412698412698
62,0.05291005291005291
63,0.19047619047619047
64,0.2275132275132275
65,0.05291005291005291
66,0.19576719576719576
67,0.2698412698412698
68,0.2698412698412698
69,0.2698412698412698
70,0.2275132275132275
71,0.2698412698412698
72,0.2698412698412698
73,0.2698412698412698
74,0.09523809523809523
75,0.19576719576719576
76,0.2698412698412698
77,0.09523809523809523
78,0.09523809523809523
79,0.2698412698412698
80,0.05291005291005291
81,0.2698412698412698
82,0.05291005291005291
83,0.1164021164021164
84,0.2275132275132275
85,0.2698412698412698
86,0.2698412698412698
87,0.2698412698412698
88,0.2698412698412698
89,0.23809523809523808
90,0.2698412698412698
91,0.13227513227513227
92,0.2698412698412698
93,0.2698412698412698
94,0.2698412698412698
95,0.2698412698412698
96,0.2698412698412698
97,0.2698412698412698
98,0.23809523809523808
99,0.2698412698412698
100,0.2698412698412698
101,0.2698412698412698
102,0.2698412698412698
103,0.2275132275132275
104,0.2698412698412698
105,0.05291005291005291
106,0.2698412698412698
107,0.2698412698412698
108,0.09523809523809523
109,0.2698412698412698
110,0.08465608465608465
111,0.12698412698412698
112,0.2698412698412698
113,0.2698412698412698
114,0.12169312169312169
115,0.2698412698412698
116,0.2698412698412698
117,0.2698412698412698
118,0.2698412698412698
119,0.2698412698412698
120,0.164021164021164
121,0.2698412698412698
122,0.2698412698412698
123,0.2698412698412698
124,0.05291005291005291
125,0.2698412698412698
126,0.05291005291005291
127,0.2698412698412698
128,0.05291005291005291
129,0.2698412698412698
130,0.2275132275132275
131,0.2698412698412698
132,0.2698412698412698
133,0.2698412698412698
134,0.2698412698412698
135,0.2698412698412698
136,0.2698412698412698
137,0.2698412698412698
138,0.2698412698412698
139,0.09523809523809523
140,0.2698412698412698
141,0.2698412698412698
142,0.2698412698412698
143,0.2698412698412698
144,0.05291005291005291
145,0.2698412698412698
146,0.2698412698412698
147,0.05291005291005291
148,0.2698412698412698
149,0.09523809523809523
150,0.2698412698412698
151,0.2275132275132275
152,0.2698412698412698
153,0.2698412698412698
154,0.2698412698412698
155,0.2698412698412698
156,0.2698412698412698
157,0.2698412698412698
158,0.2698412698412698
159,0.12698412698412698
160,0.2698412698412698
161,0.2698412698412698
162,0.12698412698412698
163,0.2698412698412698
164,0.2698412698412698
165,0.2698412698412698
166,0.2698412698412698
167,0.2698412698412698
168,0.2698412698412698
169,0.23809523809523808
170,0.164021164021164
171,0.2698412698412698
172,0.10052910052910052
173,0.2698412698412698
174,0.2698412698412698
175,0.2698412698412698
176,0.2698412698412698
177,0.15873015873015872
178,0.2698412698412698
179,0.2698412698412698
180,0.2698412698412698
181,0.2698412698412698
182,0.2698412698412698
183,0.2698412698412698
184,0.2698412698412698
