,MOLINELLI_2013
1,0.0196078431372549
2,0.6488413547237076
3,0.040998217468805706
4,0.6684491978609626
5,0.6167557932263814
6,0.28698752228163993
7,0.6755793226381461
8,0.0427807486631016
9,0.5846702317290553
10,0.6934046345811051
11,0.049910873440285206
12,0.2798573975044563
13,0.661319073083779
14,0.6951871657754011
15,0.26737967914438504
16,0.6827094474153298
17,0.5864527629233511
18,0.6327985739750446
19,0.22103386809269163
20,0.012477718360071301
21,0.0338680926916221
22,0.2192513368983957
23,0.2887700534759358
24,0.5793226381461676
25,0.5935828877005348
26,0.6506238859180036
27,0.6452762923351159
28,0.30303030303030304
29,0.6524064171122995
30,0.2798573975044563
31,0.29411764705882354
32,0.6345811051693404
33,0.0427807486631016
34,0.24777183600713013
35,0.0427807486631016
36,0.6363636363636364
37,0.6702317290552585
38,0.0035650623885918
39,0.0196078431372549
40,0.24777183600713013
41,0.6221033868092691
42,0.0784313725490196
43,0.0196078431372549
44,0.2816399286987522
45,0.008912655971479501
46,0.5811051693404634
47,0.0196078431372549
48,0.040998217468805706
49,0.26024955436720143
50,0.5900178253119429
51,0.2798573975044563
52,0.6399286987522281
53,0.10695187165775401
54,0.6274509803921569
55,0.6524064171122995
56,0.6149732620320856
57,0.0427807486631016
58,0.3315508021390374
59,0.3226381461675579
60,0.6934046345811051
61,0.17647058823529413
62,0.23707664884135474
63,0.5650623885918004
64,0.6934046345811051
65,0.24777183600713013
66,0.6363636363636364
67,0.044563279857397504
68,0.023172905525846704
69,0.6470588235294118
70,0.6684491978609626
71,0.0338680926916221
72,0.035650623885918005
73,0.012477718360071301
74,0.023172905525846704
75,0.0338680926916221
76,0.0106951871657754
77,0.012477718360071301
78,0.035650623885918005
79,0.044563279857397504
80,0.6203208556149733
81,0.6274509803921569
82,0.03208556149732621
83,0.012477718360071301
84,0.3226381461675579
85,0.024955436720142603
86,0.0196078431372549
87,0.07308377896613191
88,0.016042780748663103
89,0.2798573975044563
90,0.1443850267379679
91,0.023172905525846704
92,0.0570409982174688
93,0.053475935828877004
94,0.0374331550802139
95,0.679144385026738
96,0.0196078431372549
97,0.6238859180035651
98,0.7130124777183601
99,0.6524064171122995
100,0.6024955436720143
101,0.6827094474153298
102,0.2798573975044563
103,0.5846702317290553
104,0.6149732620320856
105,0.6559714795008913
106,0.044563279857397504
107,0.2994652406417112
108,0.661319073083779
109,0.6327985739750446
110,0.6773618538324421
111,0.2798573975044563
112,0.7130124777183601
113,0.3333333333333333
114,0.2887700534759358
115,0.25846702317290554
116,0.035650623885918005
117,0.3226381461675579
118,0.6648841354723708
119,0.5900178253119429
120,0.7130124777183601
121,0.23707664884135474
122,0.6506238859180036
123,0.661319073083779
124,0.6363636363636364
125,0.03208556149732621
126,0.0035650623885918
127,0.31016042780748665
128,0.27807486631016043
129,0.31016042780748665
130,0.0285204991087344
131,0.14616755793226383
132,0.07308377896613191
133,0.5953654188948306
134,0.7130124777183601
135,0.0944741532976827
136,0.6720142602495544
137,0.6114081996434938
138,0.5614973262032086
139,0.6221033868092691
