,KORKUT_2015A
1,0.5830513063489915
2,0.6099905238933261
3,0.6342222823879788
4,0.612833355895492
5,0.6367943684851767
6,0.6221740896168946
7,0.6252876675240286
8,0.6072830648436442
9,0.6339515364830107
10,0.6342222823879788
11,0.5761472857723027
12,0.5761472857723027
13,0.6270475159063219
14,0.6014620278868282
15,0.6553404629754975
16,0.6376066062000812
17,0.6275890077162583
18,0.6187897658047922
19,0.611344253418167
20,0.6336807905780425
21,0.6236631920942196
22,0.602680384459185
23,0.5921212941654257
24,0.6166237985650467
25,0.5921212941654257
26,0.5963178556924327
27,0.6116149993231352
28,0.6267767700013537
29,0.6434276431568973
30,0.5850819006362529
31,0.6247461757140923
32,0.6395018275348585
33,0.6087721673209693
34,0.5803438472993095
35,0.6125626099905239
36,0.6430215242994449
37,0.6323270610532016
38,0.5918505482604576
39,0.6189251387572763
40,0.614051712467849
41,0.6336807905780425
42,0.6090429132259375
43,0.6408555570596994
44,0.6415324218221199
45,0.5917151753079735
46,0.6001082983619873
47,0.6051170976038988
48,0.6485718153512928
49,0.6246108027616082
50,0.6030865033166374
51,0.6189251387572763
52,0.5909029375930689
53,0.6154054419926899
54,0.57804250710708
55,0.6045756057939624
56,0.6091782861784215
57,0.6079599296060647
58,0.5986191958846623
59,0.634357655340463
60,0.6282658724786787
61,0.6116149993231352
62,0.6047109787464464
63,0.5917151753079735
64,0.6129687288479762
65,0.6052524705563829
66,0.6265060240963856
67,0.5600379044266955
68,0.5777717612021118
69,0.6381480980100176
70,0.6386895898199539
71,0.6190605117097604
72,0.6014620278868282
73,0.6090429132259375
74,0.619872749424665
75,0.5887369703533234
76,0.6507377825910383
77,0.6028157574116692
78,0.5634222282387978
79,0.6432922702044132
80,0.6183836469473399
81,0.62136185190199
82,0.5918505482604576
83,0.6047109787464464
84,0.6825504264248003
85,0.6151346960877216
86,0.6067415730337079
87,0.6221740896168946
88,0.5952348720725599
89,0.6201434953296331
90,0.6196020035196967
91,0.6151346960877216
92,0.6151346960877216
93,0.6468119669689996
94,0.6289427372410993
95,0.6147285772302694
96,0.6480303235413565
97,0.6121564911330716
98,0.5846757817788006
99,0.6204142412346013
100,0.6307025856233924
101,0.6348991471503993
102,0.62136185190199
103,0.6297549749560037
104,0.5458237444158657
105,0.6258291593339651
106,0.6007851631244078
107,0.6476242046839041
108,0.6351698930553675
109,0.5841342899688642
110,0.6075538107486125
111,0.5994314335995669
112,0.6427507783944768
113,0.6644104507919317
114,0.6288073642886152
115,0.6377419791525654
116,0.5731690808176526
117,0.6114796263706511
118,0.6136455936103966
119,0.643156897251929
120,0.6327331799106538
121,0.6200081223771491
122,0.6484364423988087
123,0.6325978069581698
124,0.6005144172194395
125,0.618519019899824
126,0.6288073642886152
127,0.6183836469473399
128,0.6372004873426289
129,0.5948287532151076
130,0.6321916881007175
131,0.6319209421957492
132,0.6497901719236496
133,0.5734398267226208
134,0.5926627859753621
135,0.5869771219710301
136,0.6382834709625017
137,0.6353052660078516
138,0.5803438472993095
139,0.5826451874915392
140,0.6010559090293759
141,0.5841342899688642
142,0.6279951265737106
143,0.6353052660078516
144,0.6103966427507784
145,0.5678895356707729
146,0.6369297414376608
147,0.6340869094354948
148,0.6267767700013537
149,0.5978069581697577
150,0.6357113848653039
151,0.6059293353188033
152,0.5757411669148504
153,0.5942872614051713
154,0.6116149993231352
155,0.5865710031135779
156,0.635846757817788
157,0.576553404629755
158,0.5877893596859347
159,0.6162176797075944
160,0.5994314335995669
161,0.6167591715175308
162,0.6336807905780425
163,0.6346284012454312
164,0.6227155814268309
165,0.6305672126709083
166,0.6030865033166374
167,0.5979423311222418
168,0.6041694869365101
169,0.5834574252064437
170,0.5800731013943414
171,0.603898741031542
172,0.6339515364830107
173,0.6476242046839041
174,0.6484364423988087
175,0.635846757817788
176,0.6409909300121835
177,0.6167591715175308
178,0.5890077162582916
179,0.5868417490185461
180,0.5761472857723027
181,0.5884662244483552
182,0.5969947204548531
183,0.6206849871395695
184,0.6187897658047922
185,0.589549208068228
186,0.604034113984026
187,0.6436983890618655
188,0.6179775280898876
189,0.5846757817788006
190,0.640178692297279
191,0.6193312576147286
192,0.6305672126709083
193,0.627182888858806
194,0.6454582374441586
195,0.6512792744009747
196,0.6074184377961284
197,0.5992960606470827
198,0.6121564911330716
199,0.6255584134289969
200,0.6722620820360092
201,0.6325978069581698
202,0.6247461757140923
203,0.6129687288479762
204,0.6053878435088669
205,0.6183836469473399
206,0.6049817246514146
207,0.6200081223771491
208,0.6014620278868282
209,0.6546635982130771
210,0.5982130770272099
211,0.6020035196967646
212,0.6346284012454312
213,0.6317855692432652
214,0.6265060240963856
215,0.5777717612021118
216,0.5821036956816028
217,0.6020035196967646
218,0.6110735075131989
219,0.6232570732367673
220,0.5877893596859347
221,0.6135102206579125
222,0.6209557330445377
223,0.6149993231352375
224,0.6145932042777853
225,0.607012318938676
226,0.6175714092324354
227,0.5894138351157439
228,0.6148639501827535
229,0.6024096385542169
230,0.6133748477054285
231,0.6347637741979153
232,0.5727629619602004
233,0.5948287532151076
234,0.6163530526600786
235,0.604034113984026
236,0.5949641261675918
237,0.6057939623663192
238,0.6200081223771491
239,0.5753350480573981
240,0.6260999052389332
241,0.6219033437119263
242,0.6053878435088669
243,0.6263706511439014
244,0.5831866793014756
245,0.6284012454311628
246,0.6219033437119263
247,0.5988899417896304
248,0.6033572492216055
249,0.6227155814268309
250,0.5773656423446596
251,0.5768241505347231
252,0.591038310545553
253,0.6132394747529444
254,0.6210911059970218
255,0.6638689589819954
256,0.6145932042777853
257,0.5242994449708949
258,0.605523216461351
259,0.6351698930553675
260,0.6304318397184243
261,0.6247461757140923
262,0.5815622038716665
263,0.6599431433599566
264,0.6178421551374036
265,0.6144578313253012
266,0.5846757817788006
267,0.6522268850683633
268,0.627182888858806
269,0.6091782861784215
270,0.607012318938676
271,0.5877893596859347
272,0.5785839989170164
273,0.6209557330445377
274,0.6095844050358739
275,0.6082306755110329
276,0.5868417490185461
277,0.6347637741979153
278,0.6247461757140923
279,0.6210911059970218
280,0.6001082983619873
281,0.5921212941654257
282,0.5915798023554893
283,0.6246108027616082
284,0.604034113984026
285,0.6078245566535806
286,0.6385542168674698
287,0.634357655340463
288,0.5848111547312846
289,0.6066062000812238
290,0.6102612697982943
291,0.6464058481115473
292,0.6164884256125626
293,0.615540814945174
294,0.608501421416001
295,0.6336807905780425
296,0.6093136591309056
297,0.6220387166644105
298,0.6108027616082307
299,0.6116149993231352
300,0.6683362664139705
301,0.6148639501827535
302,0.6623798565046704
303,0.5922566671179098
304,0.6221740896168946
305,0.6075538107486125
306,0.644375253824286
307,0.6103966427507784
308,0.6400433193447949
309,0.6493840530661974
310,0.6263706511439014
311,0.6465412210640314
312,0.5841342899688642
313,0.611208880465683
314,0.6025450115067009
315,0.608501421416001
316,0.565046703668607
317,0.6803844591850549
318,0.6015974008393123
319,0.6029511303641533
320,0.5869771219710301
321,0.6032218762691214
322,0.6219033437119263
323,0.6580479220251794
324,0.6281304995261947
325,0.6202788682821172
326,0.6235278191417355
327,0.5860295113036416
328,0.6205496141870854
329,0.6021388926492487
330,0.6260999052389332
331,0.5678895356707729
332,0.618654392852308
333,0.6382834709625017
334,0.6048463516989305
335,0.648977934208745
336,0.6520915121158792
337,0.5796669825368891
338,0.5956409909300122
339,0.6189251387572763
340,0.6089075402734534
341,0.6200081223771491
342,0.5758765398673346
343,0.5761472857723027
344,0.6491133071612292
345,0.5959117368349803
346,0.609855150940842
347,0.6432922702044132
348,0.5888723433058075
349,0.6430215242994449
350,0.5963178556924327
351,0.612833355895492
352,0.6553404629754975
353,0.5639637200487343
354,0.5919859212129417
355,0.604034113984026
356,0.6447813726817382
357,0.5682956545282253
358,0.631514823338297
359,0.6334100446730743
360,0.6021388926492487
361,0.6365236225802084
362,0.6791661026126979
363,0.6260999052389332
364,0.6159469338026262
365,0.5956409909300122
366,0.6166237985650467
367,0.6507377825910383
368,0.6424800324895086
369,0.6229863273317992
370,0.5772302693921755
371,0.6120211181805875
372,0.6193312576147286
373,0.5783132530120482
374,0.6108027616082307
375,0.6404494382022472
376,0.6372004873426289
377,0.5898199539731962
378,0.5961824827399486
379,0.5944226343576553
380,0.5773656423446596
381,0.6572356843102748
382,0.6179775280898876
383,0.6313794503858129
384,0.6233924461892514
385,0.5930689048328144
386,0.6267767700013537
387,0.5940165155002031
388,0.6418031677270881
389,0.624204683904156
390,0.618519019899824
391,0.5887369703533234
392,0.5963178556924327
393,0.6305672126709083
394,0.585217273588737
395,0.6247461757140923
396,0.6267767700013537
397,0.6442398808718018
398,0.6132394747529444
399,0.6109381345607148
400,0.6032218762691214
401,0.6250169216190605
402,0.6110735075131989
403,0.6136455936103966
404,0.5846757817788006
405,0.596859347502369
406,0.6328685528631379
407,0.6043048598889942
408,0.6428861513469609
409,0.6131041018004603
410,0.5871124949235142
411,0.6177067821849195
412,0.6110735075131989
413,0.6244754298091242
