,MOLINELLI_2013
1,0.6221033868092691
2,0.5989304812834224
3,0.6417112299465241
4,0.661319073083779
5,0.5989304812834224
6,0.6417112299465241
7,0.6809269162210339
8,0.6221033868092691
9,0.6631016042780749
10,0.5918003565062389
11,0.6221033868092691
12,0.6773618538324421
13,0.6559714795008913
14,0.6737967914438503
15,0.6684491978609626
16,0.6327985739750446
17,0.6274509803921569
18,0.6684491978609626
19,0.6363636363636364
20,0.6381461675579323
21,0.6417112299465241
22,0.6381461675579323
23,0.6238859180035651
24,0.6470588235294118
25,0.6167557932263814
26,0.6541889483065954
27,0.6327985739750446
28,0.6773618538324421
29,0.661319073083779
30,0.64349376114082
31,0.6167557932263814
32,0.6024955436720143
33,0.6274509803921569
34,0.6345811051693404
35,0.6327985739750446
36,0.679144385026738
37,0.6524064171122995
38,0.6292335115864528
39,0.6951871657754011
40,0.6577540106951871
41,0.6702317290552585
42,0.6862745098039216
43,0.6399286987522281
44,0.6114081996434938
45,0.6203208556149733
46,0.6684491978609626
47,0.6488413547237076
48,0.6292335115864528
49,0.6078431372549019
50,0.6898395721925134
51,0.6238859180035651
52,0.6417112299465241
53,0.6755793226381461
54,0.661319073083779
55,0.6773618538324421
56,0.6755793226381461
57,0.6720142602495544
58,0.6292335115864528
59,0.6452762923351159
60,0.6345811051693404
61,0.6238859180035651
62,0.6666666666666666
63,0.6167557932263814
64,0.6737967914438503
65,0.6203208556149733
66,0.6203208556149733
67,0.6559714795008913
68,0.6648841354723708
69,0.6452762923351159
70,0.6310160427807486
71,0.6381461675579323
72,0.6185383244206774
73,0.6559714795008913
74,0.6078431372549019
75,0.6541889483065954
76,0.6684491978609626
77,0.6185383244206774
78,0.6720142602495544
79,0.6702317290552585
80,0.6024955436720143
81,0.6024955436720143
82,0.661319073083779
83,0.661319073083779
84,0.6880570409982175
85,0.6024955436720143
86,0.5989304812834224
87,0.6684491978609626
88,0.6541889483065954
89,0.6345811051693404
90,0.6720142602495544
91,0.6345811051693404
92,0.6559714795008913
93,0.6256684491978609
94,0.6221033868092691
95,0.6131907308377896
96,0.6595365418894831
97,0.6114081996434938
98,0.6256684491978609
99,0.6648841354723708
100,0.6381461675579323
101,0.6310160427807486
102,0.6345811051693404
103,0.661319073083779
104,0.7023172905525846
105,0.6577540106951871
106,0.6327985739750446
107,0.6666666666666666
108,0.5971479500891266
109,0.6238859180035651
110,0.6844919786096256
111,0.6648841354723708
112,0.6203208556149733
113,0.6470588235294118
114,0.6541889483065954
115,0.6666666666666666
116,0.661319073083779
117,0.6345811051693404
118,0.6310160427807486
119,0.64349376114082
120,0.6292335115864528
121,0.6559714795008913
122,0.6221033868092691
123,0.6221033868092691
124,0.6007130124777184
125,0.6417112299465241
126,0.6737967914438503
127,0.6648841354723708
128,0.6577540106951871
129,0.6203208556149733
130,0.6631016042780749
131,0.6577540106951871
132,0.6951871657754011
133,0.6256684491978609
