,MOLINELLI_2013
1,0.4117647058823529
2,0.40106951871657753
3,0.4206773618538324
4,0.4385026737967914
5,0.46524064171123
6,0.49554367201426025
7,0.49732620320855614
8,0.5347593582887701
9,0.48841354723707664
10,0.5151515151515151
11,0.5240641711229946
12,0.49732620320855614
13,0.5490196078431373
14,0.5294117647058824
15,0.5115864527629234
16,0.5062388591800356
17,0.49732620320855614
18,0.45811051693404636
19,0.5169340463458111
20,0.5276292335115864
21,0.5311942959001783
22,0.5204991087344029
23,0.5561497326203209
24,0.5044563279857398
25,0.5525846702317291
26,0.5401069518716578
27,0.5365418894830659
28,0.5062388591800356
29,0.5401069518716578
30,0.5454545454545454
31,0.5311942959001783
32,0.5347593582887701
33,0.5454545454545454
34,0.5579322638146168
35,0.5294117647058824
36,0.5436720142602496
37,0.5757575757575758
38,0.6042780748663101
39,0.5704099821746881
40,0.5846702317290553
41,0.5543672014260249
42,0.5133689839572193
43,0.5044563279857398
44,0.47771836007130125
45,0.4563279857397504
46,0.40819964349376114
47,0.4028520499108734
48,0.44563279857397503
49,0.45276292335115864
50,0.45454545454545453
51,0.47771836007130125
52,0.44028520499108736
53,0.45454545454545453
54,0.49910873440285203
55,0.47950089126559714
56,0.44206773618538325
57,0.4474153297682709
58,0.41711229946524064
59,0.44028520499108736
60,0.41532976827094475
61,0.41532976827094475
62,0.46345811051693403
63,0.45276292335115864
64,0.4295900178253119
65,0.483065953654189
66,0.49376114081996436
67,0.48128342245989303
68,0.47950089126559714
69,0.45098039215686275
70,0.483065953654189
71,0.47950089126559714
72,0.483065953654189
73,0.48841354723707664
74,0.47950089126559714
75,0.48128342245989303
76,0.47771836007130125
77,0.46524064171123
78,0.49732620320855614
79,0.5080213903743316
80,0.49376114081996436
81,0.5276292335115864
82,0.5311942959001783
83,0.5668449197860963
84,0.5650623885918004
85,0.5508021390374331
86,0.5294117647058824
87,0.5543672014260249
88,0.5490196078431373
89,0.5365418894830659
90,0.5508021390374331
91,0.5115864527629234
92,0.5632798573975044
93,0.5597147950089126
94,0.5472370766488414
95,0.5668449197860963
96,0.5508021390374331
97,0.5811051693404634
98,0.6007130124777184
99,0.5579322638146168
100,0.5561497326203209
101,0.5561497326203209
102,0.5222816399286988
103,0.5098039215686274
104,0.5204991087344029
105,0.5383244206773619
106,0.5383244206773619
107,0.5347593582887701
108,0.5401069518716578
109,0.5543672014260249
110,0.5401069518716578
111,0.5454545454545454
112,0.5187165775401069
113,0.5543672014260249
114,0.5597147950089126
115,0.5811051693404634
116,0.6185383244206774
117,0.6399286987522281
118,0.6007130124777184
119,0.5793226381461676
120,0.5508021390374331
121,0.5882352941176471
122,0.5632798573975044
123,0.6078431372549019
124,0.6042780748663101
125,0.6417112299465241
126,0.5918003565062389
127,0.5953654188948306
128,0.5828877005347594
129,0.5793226381461676
130,0.5704099821746881
131,0.5347593582887701
132,0.5436720142602496
133,0.5721925133689839
134,0.5347593582887701
135,0.5436720142602496
136,0.5294117647058824
137,0.5597147950089126
138,0.5454545454545454
139,0.5151515151515151
140,0.5418894830659536
141,0.5347593582887701
142,0.5187165775401069
143,0.5133689839572193
144,0.5098039215686274
145,0.5472370766488414
146,0.5258467023172906
147,0.5062388591800356
148,0.49554367201426025
149,0.48484848484848486
150,0.49554367201426025
151,0.5151515151515151
152,0.5187165775401069
153,0.49554367201426025
154,0.5240641711229946
155,0.5222816399286988
156,0.5240641711229946
157,0.5311942959001783
158,0.5062388591800356
159,0.5258467023172906
160,0.5204991087344029
161,0.5151515151515151
162,0.5276292335115864
163,0.49910873440285203
164,0.5187165775401069
