,KORKUT_2015A
1,0.4920806822796805
2,0.4946527683768783
3,0.47434682550426427
4,0.49289291999458507
5,0.49099769865980775
6,0.49343441180452147
7,0.5008799241911466
8,0.4926221740896169
9,0.4993908217138216
10,0.49736022742656016
11,0.4974956003790443
12,0.4949235142818465
13,0.4859888994178963
14,0.49018546094490323
15,0.48937322322999866
16,0.4935697847570055
17,0.4859888994178963
18,0.4918099363747123
19,0.49763097333152834
20,0.498578583998917
21,0.5084608095302559
22,0.5094084201976445
23,0.5150940842019764
24,0.5125219981047787
25,0.5088669283877081
26,0.5026397725734398
27,0.5006091782861785
28,0.5118451333423581
29,0.5171246784892378
30,0.5126573710572627
31,0.5152294571544606
32,0.5094084201976445
33,0.5071070800054149
34,0.5061594693380262
35,0.5104914038175172
36,0.5179369162041424
37,0.5165831866793015
38,0.5131988628671992
39,0.5088669283877081
40,0.510085284960065
41,0.5106267767700013
42,0.5077839447678354
43,0.5161770678218492
44,0.5106267767700013
45,0.5142818464870719
46,0.5140111005821036
47,0.507242452957899
48,0.5087315554352241
49,0.5004738053336943
50,0.49519426018681467
51,0.5031812643833762
52,0.4989847028563693
53,0.5065655881954786
54,0.5029105184784081
55,0.500067686476242
56,0.4931636658995533
57,0.4924868011371328
58,0.48707188303776905
59,0.48883173142006225
60,0.4873426289427372
61,0.497089481521592
62,0.4945173954243942
63,0.4926221740896169
64,0.49763097333152834
65,0.5095437931501287
66,0.501556788953567
67,0.49289291999458507
68,0.49329903885203735
69,0.5030458914308921
70,0.5003384323812102
71,0.4984432110464329
72,0.5052118586706376
73,0.5075131988628672
74,0.5104914038175172
75,0.5117097603898741
76,0.5094084201976445
77,0.5041288750507649
78,0.5045349939082171
79,0.5103560308650331
80,0.517395424394206
81,0.5142818464870719
82,0.5172600514417219
83,0.520238256396372
84,0.5213212400162448
85,0.5209151211587925
86,0.5188845268715311
87,0.5155002030594287
88,0.5018275348585353
89,0.501421416001083
90,0.5140111005821036
91,0.5133342358196832
92,0.505753350480574
93,0.5039935020982808
94,0.5123866251522946
