,NELANDER_2008
1,0.5185185185185185
2,0.5238095238095238
3,0.47619047619047616
4,0.5185185185185185
5,0.4603174603174603
6,0.4074074074074074
7,0.43386243386243384
8,0.455026455026455
9,0.47619047619047616
10,0.49206349206349204
11,0.49206349206349204
12,0.47619047619047616
13,0.5396825396825397
14,0.5608465608465608
15,0.5978835978835979
16,0.5714285714285714
17,0.5132275132275133
18,0.5555555555555556
19,0.48148148148148145
20,0.5132275132275133
21,0.4656084656084656
22,0.4708994708994709
23,0.42328042328042326
24,0.4708994708994709
25,0.4603174603174603
26,0.4021164021164021
27,0.43386243386243384
28,0.4126984126984127
29,0.4603174603174603
30,0.4656084656084656
31,0.42328042328042326
32,0.42857142857142855
33,0.43386243386243384
34,0.49206349206349204
35,0.4497354497354497
36,0.43915343915343913
37,0.42857142857142855
38,0.43915343915343913
39,0.42328042328042326
40,0.328042328042328
41,0.3386243386243386
42,0.37037037037037035
43,0.328042328042328
44,0.3386243386243386
45,0.3544973544973545
46,0.4126984126984127
47,0.38095238095238093
48,0.3862433862433862
49,0.3915343915343915
50,0.35978835978835977
51,0.3386243386243386
52,0.3439153439153439
53,0.36507936507936506
54,0.4444444444444444
55,0.4497354497354497
56,0.42328042328042326
57,0.35978835978835977
58,0.4021164021164021
59,0.4074074074074074
60,0.42328042328042326
61,0.47619047619047616
62,0.48677248677248675
63,0.4497354497354497
64,0.4444444444444444
65,0.455026455026455
66,0.4708994708994709
67,0.4497354497354497
68,0.4444444444444444
69,0.42857142857142855
70,0.41798941798941797
71,0.47619047619047616
72,0.49206349206349204
73,0.5026455026455027
74,0.4444444444444444
75,0.4126984126984127
76,0.43386243386243384
77,0.42857142857142855
78,0.4708994708994709
79,0.43386243386243384
80,0.4708994708994709
81,0.49206349206349204
82,0.48148148148148145
83,0.455026455026455
84,0.5396825396825397
85,0.5132275132275133
86,0.5555555555555556
87,0.582010582010582
88,0.5185185185185185
89,0.5185185185185185
90,0.5185185185185185
91,0.4603174603174603
92,0.5767195767195767
93,0.582010582010582
94,0.5396825396825397
95,0.5026455026455027
96,0.5185185185185185
97,0.4656084656084656
98,0.4444444444444444
99,0.4603174603174603
100,0.4656084656084656
101,0.5555555555555556
102,0.5714285714285714
103,0.5608465608465608
104,0.5079365079365079
105,0.5555555555555556
106,0.4973544973544973
107,0.5291005291005291
108,0.5132275132275133
109,0.5396825396825397
110,0.5079365079365079
111,0.5555555555555556
112,0.5343915343915344
113,0.5555555555555556
114,0.5343915343915344
115,0.5291005291005291
116,0.544973544973545
117,0.5185185185185185
118,0.4656084656084656
119,0.49206349206349204
120,0.4656084656084656
121,0.4656084656084656
122,0.4603174603174603
