	SS	GAB1	IRS	RasGAP	RAS	RAF	MEK	PI3K	PIP3	PDK1	mTOR	ERK	AKT
54	1.9344631	1.240201	-0.43146936	-0.67521124	2.9753853	-0.7583271	-0.76038586	0.90553273	0.90553414	0.5467757	0.57655862	-0.89777134	0.59317207
55	1.8426146	1.2652614	4.1507057000000005	-0.88968779	3.1388884	-0.65773592	-0.65886382	1.230318	1.2303226999999999	-2.6128867000000002	-6.9433977	-0.77972414	-6.9270148
56	1.8942147	1.1954203	2.0816673999999997	-0.70881556	2.9665298	-0.7641935	-0.76684795	0.95234152	0.95234011	0.5712828	-2.1796519	-0.90580478	0.60907818
57	1.9406458999999998	0.60688097	1.8374854999999999	-0.38170112	2.6054291000000003	2.2214822999999995	-1.0194382	-2.8900177000000005	-2.8902058999999998	-2.4168713	-6.678064599999999	-1.1948508999999998	-6.661799
58	2.7608847	1.6927860000000001	-0.47362459	-0.80120419	4.342053400000001	3.1580412	-0.84598395	1.2041952	1.2042028999999999	0.69667152	0.66976786	-0.99696931	0.69111661
59	2.9872847	1.9133888	4.3235278	-0.9266909	4.839257900000001	3.3285906	-0.82419065	1.5388819	1.5388877	-2.4755746	-6.7588648000000005	-0.97205279	-6.7425689
60	2.7946912	1.7178756999999998	2.0775753	-0.83163706	4.437522599999999	3.1935115	-0.84124789	1.2698559	1.2698624	0.72755155	-2.101482	-0.99156122	0.70808127
61	0.047164957	-0.17153845	1.5203528	0.20383826	-0.16334373	-0.14588862	-0.14571251	-3.4239377	-3.4236091	-2.9229716	-7.3408017999999995	-0.17442384	-7.324343700000001
62	0.047812053	-0.17293436	1.5097553999999997	0.20544928	-0.16434619	-0.14681132	-0.14664392	-3.426138	-3.4257574	-6.2469565000000005	-10.953289999999999	-0.1755453	-10.936408
63	0.047724909	-0.17275973	1.5110912	0.205235	-0.16421398	-0.14672982	-0.14656146	-3.4258642999999998	-3.4254776	-2.9247605	-9.8049409	-0.17544566	-7.327296700000001
64	-0.23618359	-0.10449784	3.6915309	-0.34228008	0.11083143	0.11390716	0.11457043	0.47800629	0.47802317	-3.0163834	-7.456286200000001	0.13757576	-7.439749900000001
65	-0.05209287	-0.1105439	2.2333365	-0.073759691	0.022602232000000003	0.01903604	0.018477427	0.12107796	0.12107734	0.080804898	-2.5823568	0.021325492999999997	0.11984958
66	-0.2364597	-0.10687137	3.6876629000000003	-0.34054327	0.10872057	0.11203071	0.1127235	0.47545854	0.47547849	-3.0179109	-9.9198793	0.13541177	-7.4422932
